# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.00549496295063	0.0879071842927	0.0297183098592	0.00828487624144	0.0434539190353	0.0428642908767	0.0477552514759	0.0371806569343	0.0615695402046	0.0714519446522	0.0335280916267	0.0338583873582	0.0275866188769	0.0479444778868	0.0995172051686	0.000989622338718	0.138066996336	0.0332296065792	0.0767807021112	0.0608611201036	0.00992040152139	0.00365191485272	0.0242070475128	0.0809822562642	0.0771101671691	0.0105809128631	0.0302758867789
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	0.00391307967696	0.00821805741484	0.00661971830986	0.00313899037719	0.0108527131783	0.00502214562369	0.00336369044895	0.00440522354015	0.00245926836766	0.00682498130142	0.00481736573286	0.0124594813614	0.00542413381123	0.00577175029213	0.00399554343233	0.00353054455975	0.00491218847032	0.0032970289694	0.00416954806167	0.00215280025898	0.00531310041956	0.00389217240882	0.00221039529594	0.00269427658674	0.00095916689504	0.00290456431535	0.00250806162666
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.187245025393	0.14863156329	0.20514084507	0.158776308341	0.251119724376	0.137228739275	0.206535170015	0.151816263686	0.171819419437	0.201079842932	0.224191301656	0.212722852512	0.179259259259	0.201444708049	0.23081947059	0.130523162512	0.189817476877	0.241424020153	0.202599357279	0.178148268048	0.220170176058	0.205059824131	0.120348512812	0.181209345291	0.215435735818	0.149585062241	0.176280902902
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.00158188327367	0.00048341514205	0.000492957746479	0.000540318015746	0.00021533161068	5.55957080113e-05	9.15289918082e-05	0.000570255474453	0.000131746519696	0.000303851907255	0.000503018108652	0.000329213938412	0.00026284348865	0.000389504620941	0.000128062289498	0.00698084947042	0.000345003203601	0.000518633770468	0.000183053329537	0.000210424085465	0.000372505195467	0.00141751958099	0.000236061633547	0.000115468996574	0.000171279802686	0.000207468879668	0.000537441777141
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.015485804679	0.0462591105161	0.0259718309859	0.0211753203314	0.0372954349699	0.0219973684698	0.0209372568761	0.0277144160584	0.0143164551403	0.0263883694839	0.03430196564	0.0251468800648	0.0231421744325	0.0339577210439	0.0215656895514	0.0203006312186	0.0247416583154	0.0184485441209	0.0280885164545	0.0156199417287	0.01968395875	0.0237134207871	0.0159234301901	0.0225934336631	0.0303165250754	0.0159751037344	0.021811178789
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.00557821996503	0.0109698051465	0.0153098591549	0.0093140534143	0.0103789836348	0.00689386779341	0.0307537412475	0.00822593521898	0.0195424004216	0.0214098728497	0.00603621730382	0.0133711507293	0.0105256869773	0.00803795899579	0.0130879659867	0.00751578046432	0.0158865760896	0.0175965029266	0.00677297319286	0.0156685011331	0.0060973218837	0.00478112536639	0.00950684578737	0.024056040953	0.0095916689504	0.0045643153527	0.00882300250806
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0167346598951	0.0271828052953	0.0200422535211	0.0262182884784	0.0233419465978	0.0299660866181	0.039586288957	0.0374515282847	0.0471432962979	0.0367427075542	0.0329476861167	0.021930713128	0.0307407407407	0.0235473248114	0.0377527629439	0.0175189900503	0.019928042189	0.0290434911462	0.0204816336493	0.0453382971836	0.0279182841234	0.0175147758397	0.022683376969	0.0250182825911	0.0205193203617	0.0630705394191	0.040218559656
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14	0.00108234118725	0.0272943626357	0.0300422535211	0.00234137806823	0.0133505598622	0.0177535627583	0.0521257608347	0.000955177919708	0.0480435641825	0.0380282348542	0.0100990558737	0.0213229335494	0.0207168458781	0.00810877801778	0.0236274924123	0.000989622338718	0.0322988713467	0.0230051122472	0.0152747833869	0.0327937843962	0.00329373014939	0.00197011196002	0.0268895660758	0.037989299873	0.00678268018635	0.00477178423237	0.00904693658187
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0372158854383	0.0432842481035	0.0363802816901	0.0395461328668	0.027519379845	0.0359704230833	0.0842524369594	0.0412864963504	0.0635457380001	0.0482423335826	0.0162126605789	0.0312753241491	0.0336559139785	0.0335682164229	0.0368179082306	0.0458703327271	0.0309188585323	0.0480847595762	0.032522474881	0.0503237293623	0.034368505666	0.0308250444476	0.0304090304305	0.0433778530465	0.0365168539326	0.0224066390041	0.0467574346113
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0308883523437	0.0408299866131	0.0282253521127	0.0409612514794	0.0280361757106	0.0347102537017	0.0919637545192	0.0319200501825	0.0689693030609	0.0520287958115	0.0217071660734	0.0261598460292	0.0355794504182	0.0304521794554	0.0431441853317	0.0378998609179	0.0361103353103	0.0498629325035	0.0300004067852	0.0557785691162	0.033329412226	0.0204459180241	0.0378127816644	0.0615834648397	0.062688407783	0.0242738589212	0.0556252239341
