# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
k__Archaea;p__Crenarchaeota	0.00549496295063	0.0879071842927	0.0297183098592	0.00828487624144	0.0434539190353	0.0428642908767	0.0477552514759	0.0371806569343	0.0615695402046	0.0714519446522	0.0335280916267	0.0338583873582	0.0275866188769	0.0479444778868	0.0995172051686	0.000989622338718	0.138066996336	0.0332296065792	0.0767807021112	0.0608611201036	0.00992040152139	0.00365191485272	0.0242070475128	0.0809822562642	0.0771101671691	0.0105809128631	0.0302758867789
k__Bacteria;p__Acidobacteria	0.208225793023	0.203592146363	0.238225352113	0.183630937066	0.299483204134	0.164303849076	0.230927646332	0.184506158759	0.188726889465	0.234597045625	0.263813651138	0.250658427877	0.208088410992	0.241563684006	0.256508765864	0.161335187761	0.219816326866	0.263688227013	0.235040475125	0.196131434121	0.245539740423	0.234082936908	0.138718399931	0.206612524537	0.246882707591	0.16867219917	0.201137585095
k__Bacteria;p__Actinobacteria	0.0914994588294	0.149561207794	0.13	0.118381104307	0.10262704565	0.125294193955	0.298681982518	0.119839187956	0.247244301963	0.196451944652	0.0870027859464	0.114059967585	0.131218637993	0.103714457703	0.154430314905	0.109794586498	0.135142683468	0.1675927984	0.105052271895	0.199902881191	0.105007254049	0.0755369756379	0.127301600927	0.192024941303	0.136098931214	0.119087136929	0.160471157291
k__Bacteria;p__Bacteroidetes	0.0962451086504	0.100699092667	0.0988169014085	0.0984922554418	0.128552971576	0.115564945053	0.0574115601117	0.0843407846715	0.0665539501998	0.0567969334331	0.079186658412	0.106285453809	0.0865113500597	0.167345348961	0.0598307016533	0.0617042901466	0.0412853833643	0.0947617989183	0.0897571492495	0.0698769828423	0.0839901188096	0.0707798760271	0.0538864328941	0.0568107463146	0.037373252946	0.0904564315353	0.120879613042
k__Bacteria;p__Chloroflexi	0.0118224960453	0.0154692845456	0.0209718309859	0.0104461483044	0.00968992248062	0.0111006096996	0.0248501212759	0.0116759808394	0.019652189188	0.0186050860135	0.01162745705	0.0159542139384	0.0119713261649	0.013136928579	0.00884910420428	0.0115010163689	0.0144737058273	0.0192264947766	0.0103933612659	0.0154580770476	0.0101752734972	0.00915381288742	0.0124254259839	0.011585389323	0.0169909564264	0.0116182572614	0.0160336796847
k__Bacteria;p__Firmicutes	0.0152360336358	0.00635876840696	0.0108028169014	0.00434827355529	0.00211024978467	0.00279831730324	0.00260857626653	0.00561701642336	0.0100127354969	0.00472139117427	0.00396610431822	0.00113958670989	0.00290322580645	0.00414291278637	0.00607015252219	0.0217716914518	0.013882271764	0.00318589316144	0.0105357360778	0.0088216251214	0.00343096890562	0.00559800105713	0.00615906262071	0.00873715407413	0.0175047958345	0.0300829875519	0.00416517377284
k__Bacteria;p__Gemmatimonadetes	0.0223128798601	0.0211587089097	0.0576056338028	0.0156692224566	0.0167958656331	0.0108782268676	0.0106402452977	0.0303518476277	0.0194545694085	0.0229758788332	0.0256926172419	0.0194742706645	0.0160812425329	0.013207747601	0.0079526681778	0.00633893227774	0.020765907112	0.00940949840705	0.00813570353496	0.039802525089	0.0227032113869	0.0380327711307	0.0155800678141	0.029406104461	0.0997533570841	0.0097510373444	0.0165263346471
k__Bacteria;p__Nitrospirae	0.00166514028807	0.00974267440131	0.011	0.00977718314208	0.0147717484927	0.0045773799596	0.0104114228182	0.00963731751825	0.00779500241535	0.0130422587883	0.0121111283083	0.0100536871961	0.00906810035842	0.00867533019369	0.00995043989396	0.000668663742377	0.0151637122345	0.00877972882863	0.00846113167636	0.0140012949174	0.0044112457358	0.0045648935659	0.0104296321731	0.0153573765444	0.0176075637161	0.00311203319502	0.0100322465066
k__Bacteria;p__Planctomycetes	0.00324702356174	0.00795775695374	0.00425352112676	0.00393660268615	0.00185185185185	0.00151961601898	0.00100681890989	0.00268020072993	0.00182249352246	0.0018698578908	0.0044884692772	0.0011902350081	0.00162485065711	0.00871073970468	0.00139587895552	0.00896009414785	0.000345003203601	0.00277839519893	0.00406785176748	0.00318873421819	0.00268595851468	0.00269088462832	0.00195287351388	0.000692813979447	0.00109619073719	0.00331950207469	0.00206019347904
k__Bacteria;p__Proteobacteria	0.300141536924	0.221366949279	0.228112676056	0.308006998405	0.28669250646	0.197883656715	0.223811267219	0.221772354015	0.223288393132	0.228449887809	0.280954960532	0.278008508914	0.249510155317	0.223717290464	0.233329491465	0.200438643415	0.240270088222	0.266725939098	0.200585770655	0.231757850437	0.305748343332	0.278530584787	0.221640413752	0.267387706401	0.2921005755	0.363070539419	0.314313865998
k__Bacteria;p__Verrucomicrobia	0.244109566231	0.176186226387	0.170492957746	0.239026398394	0.0939707149009	0.323214914475	0.0918951077754	0.292398494526	0.153879935005	0.151037771129	0.197628076149	0.16931726094	0.255436081243	0.167841082115	0.162165277191	0.416497271852	0.160787921602	0.130621619619	0.251189846642	0.160197474911	0.206387483825	0.277377348518	0.387699042877	0.130402986798	0.0574815017813	0.190248962656	0.124104263705
